lr,lstm_size,linear_mul,loss,trial_num
0.001,16.0,2.0,0.07893992602825164,2.0
0.001,16.0,4.0,0.10727042466402055,2.0
0.001,16.0,8.0,0.12008428707718848,2.0
0.001,32.0,2.0,0.04103582672774792,2.0
0.001,32.0,4.0,0.06493436406056086,2.0
0.001,32.0,8.0,0.06979277968406677,2.0
0.001,64.0,2.0,0.028593340503672758,2.0
0.001,64.0,4.0,0.03643109348913034,2.0
0.001,64.0,8.0,0.0468455595523119,2.0
0.001,128.0,2.0,0.01727982513606548,2.0
0.001,128.0,4.0,0.022602268320818745,2.0
0.001,128.0,8.0,0.03109468866139651,2.0
0.01,16.0,2.0,0.010684874188154935,2.0
0.01,16.0,4.0,0.00964951033703983,2.0
0.01,16.0,8.0,0.010224422672763469,2.0
0.01,32.0,2.0,0.006732525425031781,2.0
0.01,32.0,4.0,0.007116882901173084,2.0
0.01,32.0,8.0,0.005056028027708331,2.0
0.01,64.0,2.0,0.0062417324942847085,2.0
0.01,64.0,4.0,0.004132557359213631,2.0
0.01,64.0,8.0,0.002902404805645347,2.0
0.01,128.0,2.0,0.0066100863623432815,2.0
0.01,128.0,4.0,0.002883096710041476,2.0
0.01,128.0,8.0,0.0018414320034207776,2.0
0.1,16.0,2.0,0.014593538244565326,2.0
0.1,16.0,4.0,0.013980048609276615,2.0
0.1,16.0,8.0,0.007753807959767679,2.0
0.1,32.0,2.0,0.043147817671609426,2.0
0.1,32.0,4.0,0.005779445646330714,2.0
0.1,32.0,8.0,0.005224275249056518,2.0
0.1,64.0,2.0,0.017165405539174877,2.0
0.1,64.0,4.0,0.002085456232307479,2.0
0.1,64.0,8.0,0.07563139392722709,2.0
0.1,128.0,2.0,0.018818705895294746,2.0
0.1,128.0,4.0,0.008985015042126178,2.0
0.1,128.0,8.0,0.004624921446666121,2.0
